t,X,Y,Z
0.0,0.0,0.0,0.0
0.3448275862068966,0.2927643942967093,1.8349809351316702,0.0033795699472536646
0.6896551724137931,0.5217452895016594,2.3292975880050126,0.15669312585015344
1.0344827586206897,0.7642677986607246,2.745634049328925,0.7241574715635901
1.3793103448275863,1.1012021327754737,1.9158105790955486,1.0871922223816841
1.7241379310344827,1.2739454633969214,1.6826615501897955,1.5277407681421027
2.0689655172413794,1.3702433577267188,0.9454207003796,1.6412113709548541
2.413793103448276,1.4131669585254951,0.7758633256653085,1.4998253933689785
2.7586206896551726,1.4759175444052748,0.5045152854908435,1.6279272724092029
3.103448275862069,1.5538593083162953,0.3052170173862412,1.7006793049694537
3.4482758620689653,1.4782992766681893,0.2484481876907353,1.4876596956917911
3.793103448275862,1.749693968934894,0.194406326359714,1.2495622808966382
4.137931034482759,1.9660044546768476,0.15579707988773814,1.0543002971634505
4.482758620689655,1.618119058322511,0.1023311089810133,1.0478262919362087
4.827586206896552,1.6810007262440037,0.07955710559958475,0.7957156848484972
5.172413793103448,1.921211002419201,0.09169858238984055,0.7718432152578746
5.517241379310345,1.799825407408422,0.05547875387699665,0.6228707455858875
5.862068965517241,1.9857036120848757,0.0452887599756846,0.597260546509502
6.206896551724138,1.5937238759201007,0.052725900169944946,0.4747539442555285
6.551724137931035,1.8568452723544648,0.05049703861791495,0.47035174251619943
6.896551724137931,1.8107532786645892,0.04669713038574322,0.4150386916506088
7.241379310344827,1.6628656487771898,0.03863638121761456,0.33992365857319695
7.586206896551724,2.2591552376587964,0.04118290304009093,0.28963790563029407
7.931034482758621,1.9312986719318164,0.033178067024549576,0.24324861626777095
8.275862068965518,1.6871428169679699,0.0356696147966459,0.22753760947179166
8.620689655172415,2.1040440530025073,0.03766886128056492,0.19116861439572727
8.96551724137931,1.7755685557985923,0.032088266947495045,0.1647606170073435
9.310344827586206,2.1489021411349025,0.03607393480440308,0.15232810539045516
9.655172413793103,1.79937828135547,0.043477827473605755,0.14584818079064107
10.0,1.8541337092729664,0.03736352667094467,0.1444157713507406
